latitude,longitude,elevation,slope,aspect,rainfall_1h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_48h,rainfall_72h,antecedent_rainfall_3d,soil_moisture,temperature,humidity,distance_to_road_m,distance_to_river_m,historical_landslide_density,distance_to_previous_landslide_m,landslide_occurrence
25.28847,91.71733,1522.8,34.8,237.2,23.3,32.3,73.4,126.3,212.2,261.1,98.7,0.677,13.9,81.8,52.3,302.2,0.907,1153.4,1
25.62962,91.86275,1421.0,24.5,322.7,25.4,33.2,94.1,115.8,183.6,269.4,95.4,0.701,19.1,86.0,151.5,617.7,0.695,340.2,0
25.53755,91.89257,1502.8,34.6,169.6,4.5,17.8,31.9,43.1,58.4,70.8,28.6,0.51,13.8,84.9,21.5,688.5,0.658,99.2,0
25.65429,91.87041,1317.8,43.2,74.3,1.0,4.5,6.0,9.6,15.1,20.7,7.6,0.483,18.3,87.3,125.9,272.2,0.83,131.5,1
25.59786,91.86712,1546.4,31.9,219.7,1.5,1.7,3.8,5.1,10.5,26.6,7.4,0.214,21.7,70.4,283.5,435.2,0.528,933.5,0
23.70062,92.68348,1093.7,51.9,215.4,9.5,20.7,28.5,45.1,70.1,92.1,34.5,0.447,17.8,89.8,183.1,417.6,0.995,645.9,0
23.80783,92.70754,1014.4,34.5,65.0,14.9,94.1,121.9,200.6,254.6,341.1,133.8,0.912,20.3,81.0,58.6,260.9,0.963,583.7,1
23.78658,92.66958,1086.0,45.1,190.9,16.2,59.2,113.1,143.7,199.9,286.2,106.0,0.773,20.6,84.2,24.0,606.1,0.757,1122.5,0
23.78165,92.77781,1199.2,37.1,225.9,10.0,17.6,30.1,41.4,56.2,63.3,26.6,0.219,21.1,53.6,43.1,219.9,0.686,32.8,1
23.71679,92.7202,940.1,45.8,78.6,1.1,6.6,13.3,15.4,34.3,48.4,16.2,0.187,24.0,74.7,46.1,819.0,0.743,511.4,0
11.60804,76.10829,943.4,34.9,126.0,34.7,97.0,159.9,226.0,306.5,423.5,160.6,0.934,19.3,96.2,84.8,236.3,0.88,843.8,1
10.0103,77.02876,1309.1,40.9,16.0,0.0,0.2,0.3,0.4,6.0,13.6,3.4,0.183,19.7,73.9,21.3,547.3,0.823,1539.8,0
26.12307,91.81106,107.8,31.5,187.7,0.3,1.0,2.0,2.8,7.6,35.5,8.4,0.215,26.6,50.7,215.7,607.8,0.4,752.2,0
26.06804,91.82466,179.0,17.1,69.5,4.5,8.4,19.0,25.7,39.1,58.8,20.8,0.478,20.4,89.7,273.7,412.8,0.549,100.0,0
26.05653,91.86437,270.9,32.7,24.2,4.4,34.2,57.3,67.6,108.5,146.6,53.7,0.518,23.9,86.9,20.4,538.5,0.888,282.3,0
26.10105,91.73713,175.3,21.5,297.3,42.6,102.3,144.8,229.1,405.6,494.0,185.2,0.98,21.2,87.6,141.4,476.0,0.472,274.2,1
25.28977,91.5846,1196.0,37.2,170.4,0.5,1.1,1.7,2.1,18.9,41.8,10.7,0.173,19.2,46.0,227.9,228.8,0.926,931.3,0
25.24633,91.79303,1369.5,35.0,23.1,32.2,38.4,89.9,130.4,209.7,278.4,102.7,0.787,19.3,97.1,220.7,303.3,0.8,72.3,1
25.58728,91.89751,1447.2,26.1,279.3,0.1,0.4,0.5,0.8,17.2,28.0,7.5,0.137,23.1,69.6,15.4,716.5,0.522,2921.6,0
25.56837,91.93581,1601.9,42.0,107.6,6.1,15.8,23.1,29.4,39.1,59.0,21.6,0.364,24.2,68.5,72.5,326.2,0.632,1057.3,0
25.59749,91.91956,1155.4,50.0,169.3,3.3,6.4,13.3,20.5,21.0,40.6,14.3,0.291,23.7,59.8,14.8,267.4,0.64,202.0,0
25.61888,91.8603,1506.0,31.5,226.4,2.6,6.8,11.0,14.6,26.4,27.2,11.0,0.291,16.3,62.9,161.0,569.6,0.448,686.7,0
23.69079,92.75623,1282.6,37.7,227.7,10.3,18.6,29.2,46.7,80.5,108.7,39.1,0.44,12.1,90.7,32.3,294.4,0.969,1957.6,1
23.72469,92.75063,1007.7,41.7,349.1,17.6,44.5,87.3,127.5,204.2,248.2,95.6,0.828,15.5,97.1,33.3,216.8,1.0,240.7,1
23.69881,92.76475,1177.6,44.8,200.9,2.6,17.3,35.1,42.3,51.7,62.3,26.1,0.498,19.9,85.7,78.6,306.4,0.694,121.4,0
23.78488,92.75084,1326.9,40.4,185.6,10.2,62.1,138.2,181.4,239.7,348.3,129.9,0.822,22.4,95.6,30.6,357.0,0.748,681.0,1
23.78812,92.69629,1035.8,36.9,243.5,12.8,29.6,45.8,69.9,90.6,128.8,48.8,0.597,20.6,97.9,136.7,404.2,0.618,284.6,1
11.59411,76.1507,960.4,37.8,324.5,1.0,1.6,2.6,3.8,16.8,26.6,7.8,0.246,27.6,61.9,73.3,209.3,0.965,331.1,1
10.16751,77.0179,1551.5,43.9,180.2,34.5,61.0,154.4,236.7,338.0,449.4,171.0,0.98,19.4,90.9,127.8,461.5,1.0,690.7,1
26.07816,91.80572,119.2,18.3,36.5,6.6,29.1,42.2,59.3,82.2,117.1,43.5,0.499,24.0,87.4,55.4,150.0,0.372,945.8,0
26.07929,91.83562,221.8,16.4,198.1,8.8,77.3,123.4,175.2,272.6,410.9,144.5,0.834,18.6,86.5,199.1,570.4,0.538,764.7,1
26.08744,91.84805,256.4,34.1,291.4,0.3,0.6,1.1,1.6,19.0,33.2,8.9,0.133,25.6,54.4,35.9,314.6,0.644,806.3,1
26.13134,91.76478,215.8,16.9,159.4,48.1,55.9,112.6,193.8,316.8,446.8,159.8,0.931,20.3,81.5,239.7,432.0,0.384,484.5,1
25.27647,91.57509,1122.7,34.0,288.1,15.3,41.1,56.0,90.5,133.4,164.8,64.4,0.619,16.9,86.5,456.9,173.7,0.969,52.2,0
25.20714,91.77589,1457.9,39.4,152.2,0.0,0.0,0.0,0.0,7.7,11.3,3.0,0.132,23.7,52.3,119.1,124.6,0.911,176.3,0
25.58243,91.93307,1498.0,21.0,22.7,2.0,4.6,13.9,16.8,25.7,33.1,12.5,0.387,12.0,90.8,70.0,927.7,0.62,1588.7,0
25.56095,91.88965,1525.5,40.1,109.7,5.9,23.3,61.6,73.5,113.5,178.2,61.7,0.614,15.1,85.6,94.6,342.5,0.86,1427.8,0
25.65004,91.92595,1359.8,40.1,43.8,37.8,64.7,130.9,155.9,227.5,293.5,112.6,0.645,18.2,81.9,89.9,226.5,0.922,96.8,1
25.64466,91.86753,1539.9,33.6,354.1,2.1,3.3,6.0,10.0,16.1,23.0,8.2,0.408,13.7,84.2,55.0,438.6,0.6,913.9,0
23.7757,92.75357,1065.2,52.3,127.5,30.0,73.4,84.5,152.7,221.4,302.5,113.2,0.754,19.4,89.6,37.4,221.8,0.87,490.9,1
23.76892,92.66824,1073.5,44.3,171.4,9.3,39.0,42.8,72.6,91.6,132.5,50.2,0.538,17.9,96.7,33.3,377.9,0.87,1079.0,1
23.72179,92.66434,1069.4,41.2,162.2,0.3,0.5,0.7,1.1,1.9,24.3,5.3,0.227,24.2,48.2,24.9,406.6,0.638,3882.2,0
23.70048,92.69732,1340.4,30.5,24.7,0.6,2.7,4.1,5.6,8.0,10.0,3.9,0.423,18.2,93.9,97.6,293.3,0.676,33.1,0
23.69548,92.74447,1041.5,36.8,209.7,3.6,5.7,11.7,16.7,35.3,42.0,15.3,0.194,16.6,58.2,100.9,819.9,0.611,185.6,0
11.5397,76.07948,923.3,44.0,304.7,0.7,1.3,2.5,2.9,17.5,40.8,10.5,0.2,19.8,61.4,369.2,505.6,0.92,26.0,0
10.10289,77.0367,1496.9,38.8,182.1,2.4,6.3,9.9,13.2,19.1,36.1,11.8,0.254,22.2,64.1,126.5,236.2,0.8,188.9,0
26.08631,91.83708,95.9,16.9,263.9,1.7,5.6,9.6,13.5,23.1,35.4,12.1,0.364,23.7,92.2,157.9,396.7,0.514,621.2,0
26.04993,91.79704,159.5,29.3,78.2,20.9,27.8,81.5,110.7,156.5,235.8,85.0,0.686,19.4,88.7,92.3,360.1,0.623,682.2,1
26.12021,91.91584,247.3,35.1,179.4,1.0,2.7,3.1,5.0,8.5,11.7,4.2,0.385,18.9,93.2,36.5,349.6,0.726,46.9,0
26.13206,91.81088,38.8,15.7,229.5,16.2,61.6,81.7,122.8,189.4,268.0,97.1,0.682,19.1,86.0,62.1,403.7,0.358,956.8,1
25.324,91.61815,1090.5,37.4,289.0,14.6,22.0,68.1,82.9,144.7,217.2,74.5,0.627,17.2,87.2,229.7,180.8,0.872,20.0,1
25.23661,91.69662,1329.1,28.8,304.1,7.6,63.2,71.6,121.1,183.9,245.6,91.7,0.739,16.9,80.4,117.2,606.1,0.906,32.0,1
25.57539,91.92896,1407.2,22.9,203.5,20.1,59.6,178.0,232.4,337.2,401.3,160.5,0.98,18.5,97.6,32.6,627.6,0.753,550.0,1
25.63708,91.93791,1445.2,36.4,154.3,13.0,27.6,47.8,70.9,112.8,157.4,57.0,0.578,15.4,94.5,69.2,328.0,0.6,256.6,1
25.66109,91.97067,1164.3,32.4,316.0,2.2,8.9,18.3,20.4,35.9,36.7,15.0,0.252,21.9,72.3,69.9,293.3,0.741,79.5,0
25.58708,91.9152,1412.9,25.4,103.4,1.8,4.6,6.2,8.6,26.9,42.9,13.0,0.228,18.8,68.8,65.5,701.9,0.529,3917.9,0
23.76192,92.71087,1173.8,38.9,54.8,22.6,29.1,78.8,102.1,142.1,226.6,80.0,0.693,15.4,93.1,49.2,1095.3,0.947,2236.2,1
23.78365,92.68297,1024.7,41.5,136.4,0.5,2.4,2.6,4.1,19.3,48.9,12.5,0.205,24.8,54.4,33.5,406.6,0.906,167.2,1
23.79147,92.74853,1158.6,36.2,266.3,29.9,61.1,137.9,171.8,254.8,405.3,140.9,0.821,15.9,92.2,53.5,473.9,0.726,52.4,1
23.76593,92.75335,1302.2,38.1,231.4,0.9,2.6,4.4,7.2,13.3,32.9,9.3,0.233,23.7,64.9,39.1,536.6,0.804,78.1,0
23.7845,92.75075,846.2,35.8,351.6,4.8,9.2,30.0,35.7,45.6,66.9,25.1,0.532,21.3,97.7,102.7,512.9,0.69,751.9,0
11.52412,76.19959,876.4,36.2,24.6,0.7,1.7,3.6,5.0,6.9,8.9,3.5,0.46,23.4,96.1,51.4,102.3,0.939,20.4,0
10.06617,77.03382,1477.8,42.2,41.4,57.5,136.8,192.1,266.2,402.2,540.4,201.5,0.98,15.4,93.9,85.7,544.6,0.674,454.4,1
26.12976,91.85324,137.6,13.3,184.5,7.7,10.4,19.9,31.5,46.8,74.6,25.9,0.448,17.7,96.0,45.2,126.1,0.515,266.5,0
26.06721,91.78048,65.0,6.4,161.1,3.0,14.7,35.8,58.1,71.0,85.1,35.7,0.659,24.5,90.3,67.5,402.1,0.454,2908.6,0
26.05746,91.85368,121.3,29.6,182.7,1.5,4.1,4.4,6.8,12.3,24.1,7.4,0.131,20.8,72.2,115.2,420.4,0.824,2015.2,0
26.08602,91.78507,30.0,17.3,138.2,23.7,58.1,114.8,139.9,201.9,261.3,100.4,0.767,20.6,91.6,143.2,728.4,0.52,882.9,1
25.28646,91.57089,1180.9,46.6,190.8,11.5,22.9,34.2,45.0,54.0,56.5,25.7,0.362,21.5,69.2,44.5,179.3,0.984,286.4,1
25.25826,91.76913,1371.2,36.0,138.3,7.7,19.5,40.8,56.3,80.1,113.7,42.0,0.564,20.0,86.7,44.6,194.5,0.94,88.7,0
25.53825,91.88294,1483.1,28.7,229.3,7.6,12.6,36.1,44.8,68.1,104.1,36.6,0.588,22.1,81.9,26.7,1086.5,0.511,102.7,1
25.56442,91.8998,1351.4,37.5,52.9,3.6,26.3,31.6,49.1,85.0,120.8,42.5,0.478,13.6,86.1,82.4,345.1,0.531,767.0,0
25.66233,91.94753,1236.6,26.2,93.4,8.1,14.1,35.1,43.9,67.0,82.0,31.9,0.526,17.0,83.7,130.0,389.0,0.716,1156.2,0
25.55996,91.85071,1564.4,27.4,326.5,19.1,40.4,79.8,98.4,125.8,189.5,70.2,0.684,17.5,85.0,202.7,842.5,0.523,155.3,1
23.74453,92.74367,1233.7,43.5,135.1,15.9,50.3,87.0,124.8,192.9,297.0,103.7,0.709,18.6,94.9,133.7,347.8,1.0,1219.5,1
23.76284,92.70527,1166.7,50.5,333.5,2.4,21.5,29.8,42.1,66.5,95.8,34.2,0.515,16.8,93.2,70.2,386.5,0.981,2586.9,1
23.79732,92.68962,1101.6,40.1,252.0,4.8,27.2,49.1,73.1,90.6,118.4,47.4,0.588,18.0,97.1,28.0,765.5,0.549,74.0,1
23.78747,92.75807,1111.4,46.8,83.7,11.7,48.1,81.1,145.8,225.9,345.4,120.8,0.726,14.6,80.6,34.3,260.7,0.771,982.4,1
23.74173,92.72621,1005.1,44.3,199.7,17.1,44.0,70.1,88.6,135.6,187.7,68.8,0.641,17.4,84.9,79.9,440.2,0.677,43.1,0
11.51814,76.10448,975.4,38.6,22.6,0.0,0.0,0.0,0.0,2.1,12.9,2.8,0.139,24.9,54.4,159.4,423.7,0.841,362.7,0
10.10257,77.05589,1403.4,43.6,177.8,8.9,52.5,133.8,175.1,280.1,443.9,151.8,0.785,20.0,81.9,133.8,365.0,0.809,2074.2,1
26.07124,91.74147,31.0,5.6,133.1,21.6,50.5,103.3,134.8,191.8,295.7,105.3,0.676,24.0,94.3,157.2,125.5,0.555,460.2,0
26.07303,91.80944,267.2,19.9,208.5,0.3,1.4,3.5,5.0,6.8,10.4,3.8,0.401,18.6,88.9,51.4,463.6,0.494,630.3,0
26.05053,91.95063,269.3,32.8,278.3,52.8,87.3,212.7,320.0,450.0,554.3,219.9,0.98,16.4,86.2,122.5,317.9,0.692,777.9,1
26.17088,91.80752,92.5,27.2,243.2,46.4,87.2,150.7,225.1,311.0,366.9,149.5,0.926,19.7,88.7,170.1,496.3,0.402,3935.6,1
25.30507,91.53789,1090.0,34.9,224.1,0.7,4.7,6.8,8.6,16.4,36.6,10.7,0.196,19.9,72.5,52.5,180.2,0.799,1473.4,0
25.23188,91.72455,1530.8,35.4,87.1,12.9,39.1,57.6,74.0,113.1,139.2,53.9,0.699,13.0,95.6,82.5,451.9,0.783,3598.1,1
25.5861,91.95458,1518.9,21.8,179.4,39.1,78.3,162.6,238.8,371.6,439.5,172.8,0.956,17.3,83.4,137.8,907.7,0.603,2454.5,0
25.57591,91.90567,1519.0,29.3,171.7,0.6,1.4,1.8,2.8,14.1,37.3,9.4,0.177,20.9,45.3,55.3,710.9,0.7,188.3,0
25.59557,91.94644,1267.7,41.3,10.5,25.5,32.8,93.7,110.6,196.1,269.1,95.5,0.633,12.0,91.4,15.6,195.0,0.96,33.6,1
25.6294,91.82461,1656.8,13.7,305.0,6.2,6.5,17.9,21.0,36.0,42.9,16.4,0.207,22.6,57.9,136.6,534.3,0.404,2178.9,0
23.71834,92.76077,1124.7,41.1,274.7,4.1,7.9,14.9,22.0,27.9,45.7,16.3,0.297,22.5,55.9,46.0,537.4,0.925,360.8,1
23.80148,92.73606,941.6,50.9,185.6,26.7,41.5,80.7,113.0,171.7,243.1,88.4,0.674,17.5,93.0,27.9,184.1,0.898,1288.9,1
23.7473,92.71922,1155.0,33.2,149.7,2.6,5.1,6.4,9.4,14.8,18.6,7.1,0.265,18.0,67.9,84.6,324.3,0.663,376.9,0
23.78466,92.67378,1128.4,45.9,173.5,58.6,145.1,176.4,303.7,450.0,600.0,225.7,0.98,17.8,94.9,110.6,367.9,0.815,777.5,1
23.7154,92.69721,977.1,40.6,124.3,23.6,150.0,220.0,320.0,450.0,600.0,229.0,0.98,18.3,89.1,64.2,745.6,0.493,20.0,1
11.56026,76.11509,928.0,45.0,35.1,13.6,46.0,48.2,85.2,128.0,188.6,67.6,0.601,19.6,94.4,99.4,165.8,0.842,218.3,0
10.0587,77.0966,1504.7,45.7,205.8,1.3,11.9,14.6,23.7,34.6,43.3,16.8,0.204,17.9,63.6,44.5,407.9,0.712,383.2,1
26.06237,91.82462,30.0,30.3,119.7,5.4,13.7,22.5,30.4,40.2,53.7,20.9,0.455,22.6,85.0,70.9,204.9,0.344,4772.3,1
26.06271,91.88298,58.6,18.3,124.7,9.2,28.3,44.3,59.9,91.7,133.9,47.9,0.635,22.5,83.1,217.8,360.6,0.415,656.1,0
26.01899,91.87681,246.7,43.8,253.4,10.3,23.3,34.7,53.9,73.5,104.2,39.0,0.524,21.9,90.6,111.6,451.0,0.732,630.9,1
26.10348,91.80002,171.9,20.6,67.9,2.8,11.4,27.5,37.7,39.6,62.0,23.9,0.292,25.0,52.8,105.6,592.8,0.466,20.0,0
25.35189,91.62716,1042.1,43.4,32.9,13.8,87.9,136.7,246.5,307.2,479.2,175.8,0.967,13.8,83.9,97.7,220.5,0.782,1471.5,1
25.2304,91.66604,1446.1,34.9,184.9,65.3,121.0,195.8,320.0,450.0,585.1,226.0,0.98,16.1,95.7,111.3,379.0,0.959,392.1,1
25.5854,91.88122,1279.9,28.4,282.6,8.2,14.6,38.1,54.6,95.9,114.8,43.5,0.512,21.3,91.8,36.1,576.1,0.643,1722.7,0
25.52464,91.8807,1399.4,35.1,90.0,9.9,13.6,40.5,49.8,84.6,105.5,39.5,0.469,18.7,91.4,57.4,367.5,0.699,198.1,0
25.62339,91.96616,1288.5,45.7,318.4,11.1,34.8,48.0,80.3,128.8,158.5,60.6,0.549,19.6,82.1,22.5,190.3,0.878,443.8,1
25.63415,91.85016,1510.6,17.1,186.9,12.7,42.4,83.5,128.3,211.6,297.9,106.4,0.705,16.9,93.6,199.1,580.4,0.568,476.9,0
23.72337,92.69284,1260.8,55.4,8.0,2.1,6.9,8.7,11.9,31.5,46.9,14.9,0.231,20.5,65.4,136.6,673.7,0.993,1068.9,0
23.8167,92.74281,1038.1,43.2,317.4,2.8,5.3,10.3,11.9,16.0,19.8,8.0,0.182,23.3,60.3,147.5,227.8,0.755,464.6,1
23.81652,92.70243,1083.0,31.0,267.5,2.3,3.4,5.9,7.9,27.7,34.6,11.3,0.176,22.1,66.9,97.0,484.0,0.584,40.7,0
23.7311,92.72859,1265.3,45.1,134.4,7.0,49.4,79.0,116.5,178.1,246.6,90.4,0.707,21.1,93.7,16.2,214.8,0.66,986.6,1
23.6749,92.75776,991.9,29.9,93.0,17.5,32.6,56.9,76.9,99.5,135.6,52.5,0.543,21.0,83.6,55.1,431.5,0.62,1985.9,0
11.50211,76.09463,939.9,47.6,286.6,33.1,88.5,115.2,186.6,283.2,430.9,151.8,0.918,14.5,91.8,173.9,99.8,0.856,940.7,1
10.10115,77.05853,1505.8,46.0,269.2,1.6,4.1,13.0,15.9,21.4,30.0,11.3,0.445,16.3,85.8,194.6,538.5,0.874,3427.3,0
26.07677,91.77558,30.0,23.3,34.2,0.9,2.1,3.4,4.0,23.9,31.2,9.4,0.198,25.6,48.9,46.8,187.0,0.41,1802.6,0
26.09786,91.78407,216.3,25.7,274.4,11.6,121.2,153.7,228.0,328.6,435.6,165.6,0.98,19.8,93.2,100.2,372.4,0.632,1662.1,1
26.11559,91.92865,144.0,22.5,159.5,32.5,72.0,95.2,168.3,247.9,360.3,130.5,0.932,18.9,97.0,29.7,384.1,0.869,727.3,1
26.05909,91.81037,30.0,23.4,215.7,19.8,46.1,99.6,119.4,147.6,215.3,81.7,0.599,16.8,92.3,252.8,552.8,0.495,1037.9,1
25.30749,91.56732,1250.3,40.1,23.9,61.3,121.2,166.1,270.7,450.0,600.0,219.1,0.98,19.4,85.2,154.8,968.8,0.836,20.0,1
25.2801,91.73262,1474.4,42.4,22.5,14.8,51.6,93.6,114.5,158.4,221.6,83.1,0.666,20.5,83.0,81.5,118.5,0.949,2414.8,1
25.48319,91.8836,1395.5,25.5,7.4,0.6,1.8,4.1,4.6,8.0,34.9,8.7,0.219,23.9,49.7,64.1,777.5,0.72,264.8,0
25.55537,91.94125,1495.1,32.9,257.5,13.5,29.3,52.1,69.4,115.6,177.8,61.0,0.593,12.2,95.1,384.1,650.4,0.555,615.5,0
25.62252,91.81363,1246.0,28.2,309.5,27.5,39.1,82.7,135.9,240.6,295.7,110.4,0.791,22.6,88.8,90.8,229.2,0.93,468.6,1
25.57077,91.88907,1551.3,17.0,100.3,12.3,22.9,38.4,53.1,81.6,107.4,40.3,0.498,18.8,96.9,214.5,471.8,0.592,357.4,0
23.80199,92.81678,1269.5,55.6,224.5,0.5,1.6,3.6,5.0,6.6,8.5,3.4,0.439,18.1,96.6,141.3,353.7,0.996,20.0,0
23.80026,92.76316,1108.9,45.0,253.5,1.1,2.1,3.8,4.7,20.0,21.3,7.2,0.147,24.3,65.1,60.5,372.8,0.924,191.2,0
23.72316,92.76272,1038.2,43.5,167.6,2.4,14.2,19.9,24.6,36.9,42.9,17.2,0.217,22.8,64.5,40.9,421.9,0.649,1556.2,0
23.77305,92.75715,1174.5,47.9,155.2,15.7,34.1,110.3,131.6,210.7,330.7,113.5,0.764,14.4,92.2,45.6,462.7,0.679,254.8,0
23.75144,92.74266,971.7,45.3,159.4,6.5,8.4,18.1,27.3,48.0,56.6,21.6,0.457,16.0,97.4,72.4,494.4,0.674,219.6,0
11.59351,76.15361,1020.7,41.3,325.6,0.9,4.3,9.4,14.1,27.4,39.8,13.5,0.264,21.9,71.9,226.9,146.5,0.792,142.3,0
